Rank,Country,Country Code,Gold,Silver,Bronze,Total,Gold Medal Ratio
1,United States,US,40,44,42,126,0.31746031746031744
2,China,CHN,40,27,24,91,0.43956043956043955
3,Japan,JPN,20,12,13,45,0.4444444444444444
4,Australia,AUS,18,19,16,53,0.33962264150943394
5,France,FRA,16,26,22,64,0.25
6,Netherlands,NED,15,7,12,34,0.4411764705882353
7,Great Britain,GBG,14,22,29,65,0.2153846153846154
8,South Korea,KOR,13,9,10,32,0.40625
9,Italy,ITA,12,13,15,40,0.3
10,Germany,GER,12,13,8,33,0.36363636363636365
11,New Zealand,NZ,10,7,3,20,0.5
12,Canada,CAN,9,7,11,27,0.3333333333333333
13,Uzbekistan,UZB,8,2,3,13,0.6153846153846154
14,Hungary,HUN,6,7,6,19,0.3157894736842105
15,Spain,SPA,5,4,9,18,0.2777777777777778
16,Sweden,SWE,4,4,3,11,0.36363636363636365
17,Kenya,KEN,4,2,5,11,0.36363636363636365
18,Norway,NOR,4,1,3,8,0.5
19,Ireland,IRE,4,0,3,7,0.5714285714285714
20,Brazil,BRZ,3,7,10,20,0.15
21,Iran,IRN,3,6,3,12,0.25
22,Ukraine,UKR,3,5,4,12,0.25
23,Romania,ROM,3,4,2,9,0.3333333333333333
24,Georgia,GEO,3,3,1,7,0.42857142857142855
25,Belgium,BEL,3,1,6,10,0.3
26,Bulgaria,BUL,3,1,3,7,0.42857142857142855
27,Serbia,SER,3,1,1,5,0.6
28,Czech Republic,CZE,3,0,2,5,0.6
29,Denmark,DEN,2,2,5,9,0.2222222222222222
30,Azerbaijan,AZE,2,2,3,7,0.2857142857142857
30,Croatia,CRO,2,2,3,7,0.2857142857142857
32,Cuba,CUB,2,1,6,9,0.2222222222222222
33,Bahrain,BHR,2,1,1,4,0.5
34,Slovenia,SLO,2,1,0,3,0.6666666666666666
35,Chinese Taipei,TPE,2,0,5,7,0.2857142857142857
36,Austria,AUT,2,0,3,5,0.4
37,Hong Kong,HK,2,0,2,4,0.5
37,Philippines,PHI,2,0,2,4,0.5
39,Algeria,ALG,2,0,1,3,0.6666666666666666
39,Indonesia,IDN,2,0,1,3,0.6666666666666666
41,Israel,ISR,1,5,1,7,0.14285714285714285
42,Poland,POL,1,4,5,10,0.1
43,Kazakhstan,KAZ,1,3,3,7,0.14285714285714285
44,Jamaica,JAM,1,3,2,6,0.16666666666666666
44,South Africa,SA,1,3,2,6,0.16666666666666666
44,Thailand,THA,1,3,2,6,0.16666666666666666
47,Ethiopia,ETH,1,3,0,4,0.25
48,Switzerland,SWI,1,2,5,8,0.125
49,Ecuador,ECU,1,2,2,5,0.2
50,Portugal,POR,1,2,1,4,0.25
51,Greece,GRE,1,1,6,8,0.125
52,Argentina,ARG,1,1,1,3,0.3333333333333333
52,Egypt,EGY,1,1,1,3,0.3333333333333333
52,Tunisia,TUN,1,1,1,3,0.3333333333333333
55,Botswana,BOT,1,1,0,2,0.5
55,Chile,CHI,1,1,0,2,0.5
55,St Lucia,LCA,1,1,0,2,0.5
55,Uganda,UGA,1,1,0,2,0.5
59,Dominican Republic,DOM,1,0,2,3,0.3333333333333333
60,Guatemala,GUA,1,0,1,2,0.5
60,Morocco,MOR,1,0,1,2,0.5
62,Dominica,DMA,1,0,0,1,1.0
62,Pakistan,PKN,1,0,0,1,1.0
64,Turkey,TUR,0,3,5,8,0.0
65,Mexico,MEX,0,3,2,5,0.0
66,Armenia,ARM,0,3,1,4,0.0
66,Colombia,COL,0,3,1,4,0.0
68,North Korea,PRK,0,2,4,6,0.0
68,Kyrgyzstan,KGZ,0,2,4,6,0.0
70,Lithuania,LTU,0,2,2,4,0.0
71,India,IND,0,1,5,6,0.0
72,Moldova,MDA,0,1,3,4,0.0
73,Kosovo,KOS,0,1,1,2,0.0
74,Cyprus,CYP,0,1,0,1,0.0
74,Fiji,FIJ,0,1,0,1,0.0
74,Jordan,JOR,0,1,0,1,0.0
74,Mongolia,MGL,0,1,0,1,0.0
74,Panama,PAN,0,1,0,1,0.0
79,Tajikistan,TJK,0,0,3,3,0.0
80,Albania,ALB,0,0,2,2,0.0
80,Grenada,GRN,0,0,2,2,0.0
80,Malaysia,MAS,0,0,2,2,0.0
80,Puerto Rico,PUR,0,0,2,2,0.0
84,Cape Verde,CPV,0,0,1,1,0.0
84,Ivory Coast,CIV,0,0,1,1,0.0
84,Refugee Olympic Team,EOR,0,0,1,1,0.0
84,Peru,PER,0,0,1,1,0.0
84,Qatar,QAT,0,0,1,1,0.0
84,Singapore,SIN,0,0,1,1,0.0
84,Slovakia,SVK,0,0,1,1,0.0
84,Zambia,ZAM,0,0,1,1,0.0
